RA,DEC,z,M500
62.068,-30.894,0.06,1.5303
63.356,10.467,0.0882,6.424
63.488,-38.1,0.0501,1.6249
64.187,-55.419,0.365,1.2136
64.357,-45.208,0.213,1.6298
64.393,-11.908,0.443,22.1
64.908,2.414,0.0131,0.7031
65.025,-38.634,0.35,1.4331
65.186,-38.699,0.225,0.7154
65.265,-46.493,0.131,0.7635
65.62,-50.15,0.0901,0.5277
66.464,-8.559,0.0397,2.0861
66.531,16.92,0.38,2.9084
67.177,-38.096,0.154,0.6789
67.283,-53.847,0.04,0.6376
67.4,-2.885,0.399,6.0882
67.85,-61.444,0.0589,4.5579
68.41,-13.259,0.0326,2.9118
68.565,-8.521,0.24,0.6091
69.18,10.061,0.159,2.9567
69.28,-20.457,0.155,2.7552
69.292,0.727,0.2842,5.9496
69.728,-22.114,0.067,1.5091
69.753,7.262,0.245,5.6202
69.76,5.344,0.208,4.6097
70.791,2.172,0.19,2.8016
71.292,-15.85,0.036,0.8642
71.658,-4.351,0.177,1.7279
72.002,10.618,0.094,1.2183
72.051,-20.47,0.072,1.9513
72.054,9.89,0.154,2.9287
72.48,-44.678,0.1501,3.2382
72.515,45.024,0.022,1.8897
72.899,-55.954,0.094,0.8073
72.977,0.105,0.43,4.1001
73.538,-10.239,0.2475,5.8187
73.546,2.918,0.203,6.4364
73.546,-3.015,0.5377,7.1338
73.582,-2.664,0.26,1.5539
73.71,-18.109,0.0335,0.6194
74.73,-0.489,0.015,0.114
74.776,8.78,0.1034,1.7985
75.194,-38.678,0.0536,1.2705
75.331,-3.542,0.0913,1.6462
75.413,1.175,0.1248,2.5179
75.78,6.127,0.088,1.8817
76.333,-28.818,0.509,1.542
76.493,-28.434,0.131,0.4435
76.517,-28.681,0.136,0.5651
76.725,2.952,0.1475,1.711
76.9,-2.64,0.1241,2.0866
76.94,-9.254,0.0398,0.7045
77.431,-8.611,0.125,0.5128
77.558,-45.321,0.2,4.6483
77.686,-8.018,0.2195,6.0827
78.651,-49.055,0.0912,1.6483
78.835,58.766,0.1203,3.1585
79.086,17.209,0.115,4.2315
79.155,6.438,0.0284,1.3731
79.158,-54.514,0.2952,7.7238
79.243,29.421,0.13,3.0614
80.176,-13.48,0.336,6.3
80.294,-25.51,0.581,2.4557
80.373,-40.825,0.0756,1.4667
80.558,-36.414,0.472,2.1028
80.699,28.109,0.058,1.9868
81.115,8.329,0.068,2.0256
81.386,-31.596,0.038,1.0913
81.465,-47.251,0.1913,3.8005
81.807,4.219,0.151,3.1041
82.064,-29.716,0.1582,3.0392
82.167,-32.858,0.273,1.2642
82.234,-39.463,0.2839,7.5474
82.41,-58.803,0.466,1.0624
82.63,-58.86,0.338,0.7031
82.66,-22.448,0.1706,4.2146
83.096,-11.531,0.154,4.9028
83.174,-46.238,0.135,0.8644
83.231,-37.024,0.2708,5.1091
83.327,-36.326,0.0479,0.7294
83.471,-57.779,0.297,1.2658
83.483,-58.154,0.198,0.556
84.568,-20.623,0.0915,1.8866
84.768,-28.551,0.254,0.9111
85.026,-40.842,0.0358,1.2212
85.042,-43.382,0.085,1.6874
85.539,-26.124,0.039,0.853
85.712,-41.001,0.642,2.9996
85.852,-44.505,0.1637,3.2882
86.055,-25.928,0.26,1.035
86.363,-25.939,0.0424,0.5018
86.377,-47.94,0.1254,2.5766
86.756,-39.074,0.319,4.3
86.909,-31.875,0.1483,4.5029
86.94,-47.39,0.0515,0.6695
87.165,-25.458,0.042,1.3823
87.21,-21.912,0.0928,1.6591
88.218,-21.057,0.0989,3.1912
88.363,-5.968,0.151,3.0695
89.305,-37.466,0.0442,0.9722
90.201,-58.587,0.0369,0.4321
90.44,-39.993,0.0468,1.9761
90.506,53.263,0.051,1.1167
90.531,23.166,0.0654,2.5321
90.957,29.665,0.03,0.9853
91.165,42.953,0.118,2.9167
91.47,-35.3,0.1392,4.4761
91.756,-49.483,0.0553,0.841
92.633,-48.807,0.243,1.2692
93.153,48.602,0.067,1.9016
94.082,-21.948,0.171,3.3321
94.131,-39.8,0.152,3.4712
94.223,-47.805,0.1164,2.4118
94.65,67.407,0.1127,1.7437
95.432,-52.703,0.0511,0.9466
96.153,-37.336,0.0333,0.599
96.197,-52.679,0.074,0.6629
96.318,-55.352,0.118,1.336
96.595,-53.695,0.0514,2.1612
96.784,-35.489,0.0554,1.6778
96.81,-54.47,0.0506,2.3989
97.207,-41.728,0.1759,4.3533
97.291,46.101,0.129,2.2924
97.836,-56.172,0.054,1.2855
97.839,25.016,0.081,2.685
98.006,25.327,0.075,1.5874
98.642,-62.446,0.27,1.522
98.764,22.525,0.068,3.8399
98.868,-62.568,0.157,1.0108
99.329,-48.478,0.2026,3.8211
99.531,47.791,0.174,4.6614
99.694,-53.972,0.2266,6.8771
100.033,-12.889,0.135,5.4507
100.854,42.245,0.091,4.1975
101.372,-54.219,0.1644,5.8164
101.959,70.249,0.584,8.8556
102.345,18.017,0.064,2.1684
104.253,42.78,0.125,1.9088
104.63,-55.947,0.2965,10.3599
106.102,63.316,0.098,2.5235
106.761,27.106,0.062,1.3771
107.032,71.857,0.1053,1.6204
107.603,22.673,0.289,5.2347
107.948,32.319,0.0672,1.9673
108.022,-60.502,0.0322,0.4348
108.58,54.685,0.1043,1.4594
109.178,53.408,0.0644,1.1043
109.295,-36.36,0.032,1.0838
109.363,-11.331,0.075,3.1457
109.382,37.759,0.546,12.9576
109.894,0.719,0.2197,5.2729
110.074,71.536,0.268,1.0413
110.075,23.816,0.168,3.1513
110.224,71.149,0.23,0.9941
110.343,55.786,0.0381,1.681
111.23,66.979,0.0863,1.2147
111.502,41.382,0.112,2.0846
112.238,29.586,0.3976,3.6493
112.37,24.606,0.161,3.6042
112.442,79.254,0.1058,1.2819
113.092,31.63,0.171,5.1975
114.106,39.433,0.1177,3.3105
114.422,59.34,0.0384,0.3058
114.538,-75.107,0.111,1.7889
114.569,1.031,0.189,3.7913
114.746,69.947,0.117,0.836
115.248,55.432,0.034,1.2902
115.376,25.963,0.1577,1.4441
115.437,74.248,0.2149,4.6049
115.661,9.369,0.062,1.332
116.219,39.457,0.697,6.94
116.29,-54.079,0.074,2.259
116.655,31.014,0.0579,0.6754
116.885,-19.292,0.1028,7.9855
117.039,18.546,0.04,0.5199
117.844,50.213,0.0228,0.4197
117.85,17.513,0.1894,3.8253
118.351,29.366,0.0621,1.4236
119.232,38.65,0.2203,2.5432
119.444,-53.264,0.039,1.1092
119.495,-21.962,0.049,1.9409
119.589,26.679,0.2315,2.2599
119.928,54.002,0.1032,2.0052
120.245,36.047,0.288,4.5987
120.54,-19.434,0.14,2.2449
121.091,46.782,0.1868,2.2205
121.43,45.69,0.1353,1.7085
122.421,28.199,0.399,3.3891
122.482,-2.982,0.27,5.682
122.601,42.272,0.064,1.0201
122.76,16.735,0.0925,1.0142
122.783,70.039,0.223,4.8364
123.126,-57.235,0.062,2.9629
123.869,-3.142,0.198,3.3605
123.999,62.886,0.312,1.6401
124.128,74.404,0.282,1.5644
124.352,-7.513,0.0704,3.8772
124.557,1.367,0.0879,1.7924
124.741,56.909,0.26,0.8135
124.844,70.913,0.226,0.6868
124.913,63.61,0.119,2.3468
124.978,56.577,0.26,1.5505
125.111,56.757,0.0429,0.1534
125.248,-57.08,0.061,1.6896
125.257,7.866,0.11,2.0211
125.465,1.212,0.0822,1.4788
125.54,47.1,0.1303,3.6508
125.798,4.356,0.0293,0.7315
126.045,3.463,0.347,1.0693
126.376,47.13,0.1267,3.4839
126.436,82.31,0.2,3.0141
126.497,4.263,0.2248,4.1177
126.527,26.43,0.351,1.1817
126.615,-27.355,0.041,1.3115
126.624,31.421,0.209,0.672
126.692,-20.133,0.0876,1.8725
127.019,44.764,0.145,3.2709
127.162,30.428,0.0503,1.1524
127.743,65.85,0.1818,6.8668
129.356,14.983,0.2793,10.0572
129.543,25.101,0.0286,0.3297
129.63,19.805,0.123,0.9029
130.13,5.733,0.2651,3.4434
130.281,64.378,0.343,2.0097
130.431,70.781,0.235,0.6667
130.478,-17.485,0.1687,4.2779
130.72,50.388,0.423,1.038
130.736,36.362,0.282,7.5349
130.747,29.476,0.194,3.989
131.236,42.982,0.0541,0.4696
131.797,34.821,0.56,1.9683
131.941,77.692,0.26,3.7899
132.198,44.939,0.574,0.958
132.235,44.871,1.261,1.3868
132.298,37.523,0.24,0.9165
132.55,36.06,0.378,6.7616
132.991,11.995,0.115,0.3899
133.064,-5.549,0.192,1.375
133.137,16.302,0.098,0.5581
133.306,57.996,0.475,2.2169
134.036,37.948,0.4107,6.1886
134.604,13.954,0.488,1.202
135.02,39.34,0.0951,0.5176
135.158,20.916,0.2347,5.2335
135.298,62.656,0.09,1.1485
136.614,10.345,0.1328,2.2885
136.825,33.502,0.483,0.9595
136.843,16.657,0.073,0.9754
136.962,49.607,0.0352,0.3965
137.283,10.993,0.1751,4.7375
137.285,-9.666,0.0542,4.4824
137.567,60.205,0.181,0.6527
137.651,-10.581,0.0916,1.9936
137.665,42.811,0.576,1.6177
137.797,17.776,0.5049,4.5937
138.124,15.943,0.0851,2.2769
138.259,47.706,0.051,0.8739
139.029,17.602,0.0292,0.3303
139.462,51.725,0.2172,5.7894
139.527,-12.093,0.0539,3.6243
139.955,33.76,0.023,0.2579
140.002,1.04,0.0175,0.1344
140.094,73.837,0.133,1.5416
140.109,30.515,0.2952,4.0341
140.286,45.644,0.1745,2.1881
140.305,45.479,0.315,1.648
140.783,22.298,0.0316,0.2684
141.024,14.168,0.1357,3.8079
141.652,12.716,0.489,2.0531
141.67,17.69,0.117,1.8733
141.795,53.45,0.2052,3.6924
142.021,74.783,0.124,1.7372
142.033,20.542,0.192,2.4169
142.157,37.799,0.2472,3.1464
143.354,34.052,0.0269,0.2056
143.87,7.492,0.261,3.1897
144.276,61.283,0.204,0.54
144.499,-20.346,0.0344,0.49
144.567,75.887,0.1503,1.4196
145.252,38.719,0.287,0.6885
145.515,8.963,0.206,3.9492
145.561,15.387,0.1664,2.8846
145.588,81.186,0.545,2.6505
145.779,46.998,0.4069,3.9698
145.854,-76.332,0.199,4.5079
145.885,16.667,0.256,1.2867
145.938,16.737,0.18,0.8198
146.007,64.412,0.12,1.6389
146.043,-21.278,0.0077,0.0725
146.152,-26.566,0.1421,3.6917
146.352,-8.654,0.1535,3.3724
146.637,-14.164,0.23,0.5083
146.804,76.387,0.345,8.5
146.941,7.688,0.625,2.2845
146.99,7.507,0.128,0.3038
147.164,-83.465,0.1982,3.4323
147.47,17.13,0.3826,7.9037
147.532,70.566,0.21,1.2477
147.946,-1.476,0.568,1.4614
148.198,51.891,0.214,5.2717
148.301,-15.981,0.0302,0.4177
