RA,DEC,z,M500
234.9669400362344,30.695959297425144,0.098,2.5281863
312.6791238511879,1.396000260511738,0.3334,5.4416676
265.91547528972734,24.740320351680456,0.141,3.6821835
221.11935843758494,31.233363034130583,0.234,4.7297473
260.0217247899042,26.631582623135603,0.1644,5.9041457
245.1403523756866,29.894136617853107,0.0972,3.671208
333.61760622081624,-10.352437876615381,0.098,3.6317492
312.7712804838371,2.2844662490077923,0.3211,6.3926463
314.73121744508603,1.3563280768620698,0.334,6.597796
260.03231828590725,27.68818460858225,0.164,4.331068
218.16803224017033,31.58787156824547,0.1313,2.9233952
344.74631106122865,-15.608138412115402,-1.0,0.0
344.5480213581792,-15.272428632875997,-1.0,0.0
318.39885358620904,0.5196466802028462,-1.0,0.0
243.4439271761539,32.08138202423282,-1.0,0.0
319.7375191976786,0.5438781702658372,0.26497498,4.588255
282.3867611914249,22.454050604781397,-1.0,0.0
323.7991586718976,-1.0448463852524306,0.33,7.453945
227.55461257441434,33.491478341692385,0.113,5.8503294
318.51539921045634,2.5707131966402947,0.0494,1.7961742
328.5449166862322,-4.001940435094648,0.1509,3.2576516
322.4101439582814,0.07330360864431269,0.2347,4.338452
254.90079043007862,31.743189933450076,-1.0,0.0
348.2366744873344,-15.987518581480506,0.262,4.9721265
331.39185132137504,-5.558059527481695,0.0582,1.783753
233.82830541028449,34.344616355525204,0.2347,4.385536
322.11802830805044,1.587434920435418,0.392,7.323019
234.90178430164653,34.43134563948542,0.229,5.7279587
260.61499371705185,32.1354073480625,0.224,7.77852
259.4623560169111,32.56084334961345,0.1054,2.5786061
323.8259983544232,1.4104545372692232,0.231,6.7316947
265.07476638855803,31.603019260761258,0.426,5.5299745
270.38452136966464,30.39615085499256,-1.0,0.0
194.49226072401154,27.752790391487494,0.045041278,3.2957582
255.66630937229573,34.05107221029076,0.0953,4.3796263
304.7410481841277,15.126201480397949,0.122,4.006226
340.83409709701294,-9.595095041455306,0.447,9.992374
357.78259648977064,-19.98250139020178,0.248,4.707928
283.5194099466704,26.482997949644513,-1.0,0.0
332.93076461601385,-3.8292289495907945,0.397,10.503954
257.4671654888248,34.46128665702905,0.0802,3.731657
237.14131299750693,36.103359652363416,0.2382,5.586019
236.21485590580477,36.12190556723911,0.0654,2.3794463
194.91179667482018,27.953678985751075,0.0231,7.1652966
266.0678139488109,32.99864305882701,0.0757,2.6839695
301.6444231618769,18.311570779255526,-1.0,0.0
276.3360461568809,30.431995632821852,0.065,3.8820019
249.05078322642322,36.05541120099599,-1.0,0.0
323.8823278761137,3.881770214204497,-1.0,0.0
337.0708369222352,-5.527421743600493,0.52,6.714546
260.2028739745533,35.32480627480414,0.383,5.213302
245.9901492082857,36.97290248253759,0.3427458,5.7585664
260.07859485493105,35.60019755947288,0.387,6.0879784
279.3393413670553,30.66419290223453,-1.0,0.0
334.6484079908488,-2.9574109060924787,0.0902,2.2257829
281.1949273689561,30.246773570848188,-1.0,0.0
329.0382714483243,1.4209953869686989,0.224,4.9910016
312.58739696731635,13.746871920474366,0.221,4.5847144
280.2784059217526,30.93224656537541,0.19,4.6665683
284.6834150617637,29.28567321616114,0.224,5.5282354
221.07374929133687,35.93763636657816,0.36074635,4.999158
267.5744570727395,35.0760544727036,0.1712,3.4804244
310.0451803564341,17.200138530802352,0.169,3.7687576
194.72700004101804,28.023080532750463,0.043604515,3.4022627
335.98566648635693,-1.6169119973097565,0.0906,3.4668398
316.21289143677177,14.034705828133642,0.1615,4.334959
247.15646391615198,39.56022396201737,0.0299,2.8724062
234.50726910876588,39.4147313270356,0.4220332,6.239583
286.4733475088167,32.54588781843141,0.426,6.208445
313.23976412757764,17.89356425310765,0.393,5.610311
342.29575767466025,-5.446745487944834,0.24523622,4.4753523
281.1498973710857,35.697026558722094,-1.0,0.0
246.07506763398655,41.24702286040096,0.1825,3.8969338
351.318865324505,-12.125210312589784,0.0852,2.4835372
306.5168037315082,24.135200412826514,-1.0,0.0
204.81799273841912,33.01015935633562,0.273,4.06576
249.71678520802683,41.59904572695186,0.336,5.2250004
7.150380933206793,-23.63186668156559,0.112,2.831822
263.22314251662067,40.641851866616115,0.1329,2.7361386
319.8934302001792,15.411181381411197,0.248,4.3458066
286.066998823712,35.269660993688014,0.2462,4.4366026
276.8510520292535,38.25868111643923,0.278,4.134477
270.30783666297003,39.85458376748758,-1.0,0.0
269.2018958574504,40.13272869183611,0.576,7.698463
346.8558241121978,-7.542316308019296,-1.0,0.0
215.4320267900858,37.28211953494641,0.16300766,3.7882655
307.7695686950107,25.044757699671752,-1.0,0.0
275.0416030088611,39.298492988532765,-1.0,0.0
216.5032141466019,37.81596721032461,0.1712,7.23589
318.36448353342075,18.057864675995933,-1.0,0.0
289.0095428820152,35.41256856565401,0.209,6.2251687
259.31341205374133,42.461771648031295,0.1754,4.537866
321.59939599203335,16.08122463981018,-1.0,0.0
328.0099380543881,10.80461778331836,0.19448045,3.842075
284.394516500567,38.004976878855565,0.0567,2.1749923
200.69459381386048,31.656538359609875,0.3083,6.6004877
333.4279666592987,6.533125040047382,0.39073086,5.383282
338.9268352844344,1.449435655593887,0.0594,1.9290442
315.6864123772886,22.735970418647877,-1.0,0.0
215.40435504551021,38.36126645756055,-1.0,0.0
326.503600665054,13.987607543602996,-1.0,0.0
3.692323143266202,-20.41487485046159,0.317,5.917576
318.8034815226088,21.03089446319708,0.308,5.5624413
328.9193863150285,12.515036816461166,0.192,4.956602
239.1790897762128,44.653263773874706,0.61,6.460897
268.0130179391401,44.669523932787634,0.366,6.74745
225.33593781334093,42.3464300956807,0.2917,5.8693595
266.82567200544065,45.189878123521765,0.1565,4.130355
337.7250413829334,5.7014500707322435,-1.0,0.0
347.3864742967574,-4.158332006588825,-1.0,0.0
3.430539267062128,-19.48618568223261,0.094,2.7566233
338.56278785983784,5.810817155187804,0.159,4.287392
250.094140346954,46.7102777879753,0.228,11.691892
320.5962522261253,23.186696418898592,0.143,6.169773
337.1937320971138,7.459950274611209,0.3729692,5.1617246
315.30948982752665,27.55243761830334,-1.0,0.0
215.1737162296037,39.92448193418745,0.609,6.744055
4.7635197569286625,-20.420161971184665,0.2773,5.607659
257.3828937216876,47.54748820077412,0.56,6.0507355
347.09088367464295,-2.1956241116766235,0.2966,5.520188
328.42333398710196,17.698582600671042,0.2329,9.799098
347.04601246314155,-1.9213273468393568,0.3047,5.3968086
210.91136033940776,38.469699175667095,0.48451862,5.7526608
326.5373031783524,20.47777748560569,0.25,5.0252047
281.6991477357537,45.775910942263785,-1.0,0.0
350.2344230236468,-4.644439380310685,0.18921189,3.343928
256.347024900046,48.88965014866128,0.2691,4.5026975
290.2898594068945,43.97486408468739,0.0557,8.735104
287.78833486473525,44.91731394178347,-1.0,0.0
343.15832397167384,4.497704511227503,0.666,6.3333306
277.05140805599666,48.060049986961005,0.169,3.1338432
279.65744260494336,47.62842846209948,-1.0,0.0
223.03021443037048,44.455422609453414,-1.0,0.0
333.69219416666647,15.924524928450875,-1.0,0.0
355.3343967467927,-9.018616255671047,0.251,4.110028
266.7472334429014,50.471954628107945,-1.0,0.0
272.746231051844,49.89389594169053,0.0501,1.317545
330.2280528081449,20.970077544146854,0.147,5.0615773
8.152983747071344,-22.67805694363029,-1.0,0.0
344.25503220050456,5.502859680405831,0.1696,3.700373
282.97900864025445,49.043977400158816,0.45,5.19619
270.57831128079465,51.6225555878243,0.204,3.7746294
254.8538953720883,52.075663148841805,-1.0,0.0
290.79562201554705,48.25554592355969,0.0998,2.321968
225.23693801538786,47.28742131939005,0.0878,2.5127242
291.54675595210426,48.55623297637643,0.098,3.0966084
336.53959062571454,17.37665665330599,0.1072,3.7740483
330.8549563749836,23.910499265993202,0.2662265,4.2799726
216.83130793626236,44.13080957141131,0.5020798,5.225707
345.23985415139276,6.782657239024502,0.042,1.9557918
238.29883493490146,51.14833794823217,0.2354,3.1982152
347.898249459139,3.6286919562918767,0.2998,7.4839993
234.8082133523037,50.61374164478142,0.5005743,4.691208
342.602682937906,10.913960776628109,0.0768,2.237844
358.56911109857595,-10.445246239420158,0.0765,2.761984
274.09616836832623,53.24888279480699,0.2764,4.0147862
286.7627851298585,51.11261566018317,-1.0,0.0
210.09947613841155,41.01285698099137,0.25047943,4.1604815
273.04129098319066,53.81167662159422,-1.0,0.0
357.9402496747136,-8.966737898928235,0.3939,5.901285
281.1318061444069,53.01248254731546,-1.0,0.0
2.98229966827044,-15.39867946517026,0.378,5.062408
213.44451605065967,43.65226416142301,0.089,2.0749116
337.1295520436843,20.622053467272455,0.412,8.266169
277.3859931435807,54.6932029195645,-1.0,0.0
351.9062561000725,0.9419075087176724,0.302061,4.9161544
196.4623437001371,30.893057761730276,0.1832,4.6578574
222.31584831826726,48.55894871711493,0.731,5.396077
340.4852901943671,17.52328405777978,0.3137,5.496043
320.9362739525418,38.13474323022568,-1.0,0.0
347.6027872808827,7.64904411904701,0.0424,1.4825848
324.4641155704942,35.5818096407259,0.273,5.234128
297.0787837881412,51.23949739661185,0.185,4.8667045
266.28163720555216,56.37734224396369,0.3236,4.189792
327.4323333014731,33.172813145326685,0.3673,5.742656
246.76585255028172,55.48021553191532,0.13,2.699005
354.04060869664073,-1.4336187798911224,-1.0,0.0
356.06567894641285,-4.389911081726366,0.0786,3.1165664
285.00607262711986,54.69990486978511,0.367,4.48742
259.5667750233532,56.65615095312107,0.1138,2.4287062
251.62915182569571,56.46740715487231,0.2565,3.8809412
300.7762714779227,51.3495386701789,0.0805,2.2380147
258.7587369331775,57.42047374562918,0.0276,1.0102385
277.61641845897327,56.88226924392882,-1.0,0.0
274.994596974268,57.168481999456425,0.179,3.9251988
345.638506162008,12.952275386632412,-1.0,0.0
204.47729731341866,38.8707524732651,-1.0,0.0
327.4345076397275,35.71041542248963,-1.0,0.0
335.5577934321543,27.143047133333106,0.23147558,3.8101652
294.55454969765236,54.1734720334014,0.26,7.5779567
336.7802258809365,25.81447965286576,0.165,3.4547298
205.87500422449313,40.13284905737014,0.2219,3.8314958
268.4740343684403,58.12895106699882,0.2263,4.3329663
356.28618481380414,-3.0427217477116915,0.35469857,4.372104
7.478490293084528,-20.074844595946843,-1.0,0.0
228.47873616071166,52.798416825327244,0.6752,5.4475513
354.4318766155165,0.2682359490124721,0.2779,7.3293004
282.9448997654057,57.20176663654085,0.1094,1.7954249
