Name,RA,DEC,z,M500,MCXC,RedMAPPer,PSZ2(z),MCXCRA,MCXCDEC,matched,ACT,ACTRA,ACTDEC
PSZ2 G028.77-33.56,312.0614471,-17.808966100000006,0.1475,4.514435,True,                    ,True,312.04400000000004,-17.844,,False,,
PSZ2 G028.89+60.13,225.0904835,21.3594324,0.153,4.542624,True,RMJ150019.5+212209.9,True,225.085,21.362,,False,,
PSZ2 G029.06+44.55,240.58675330000003,16.091271799999998,0.0353,3.5270349999999997,True,                    ,True,240.578,16.02,,False,,
PSZ2 G030.90+34.37,250.84410490000002,13.385334799999999,0.1819,3.7135269999999996,False,RMJ164325.4+132235.9,True,,,,False,,
PSZ2 G031.93+78.71,205.47093030000002,26.368440600000003,0.0724,2.718318,True,RMJ134149.1+262224.5,True,205.47400000000002,26.372,,False,,
PSZ2 G033.46-48.43,328.08144289999996,-19.612919199999997,0.0943,4.076925,True,                    ,True,328.1,-19.565,,False,,
PSZ2 G033.81+77.18,207.2220525,26.594595299999998,0.0622,4.465212999999999,True,RMJ134853.3+263613.4,True,207.22099999999998,26.596,,False,,
PSZ2 G033.97-76.61,357.9273591,-26.095302899999997,0.2264,7.557539,True,                    ,True,357.91900000000004,-26.084,,True,357.9142485005052,-26.08315446673377
PSZ2 G034.38+51.57,234.85930319999997,21.7896687,0.0411,1.928021,True,RMJ153956.8+214927.2,True,234.91,21.789,,False,,
PSZ2 G034.78+31.71,254.69025040000002,15.319842300000001,0.48,6.264101999999999,False,                    ,True,,,,True,254.65952392924976,15.316925738571218
PSZ2 G036.73+14.93,271.1293648,10.055297,0.1525,5.288359,True,                    ,True,271.119,10.039,,False,,
PSZ2 G037.05-70.55,351.5252236,-24.12065410000001,0.08800000000000001,2.216287,True,                    ,True,351.56699999999995,-24.104,,False,,
PSZ2 G037.48+71.52,213.6348242,27.055502,0.480965,7.058753,False,RMJ141438.9+270311.1,True,,,,False,,
PSZ2 G037.69-46.87,327.6175442,-16.3991623,0.263,5.1732,False,                    ,True,,,,True,327.64770445878503,-16.375088919643442
PSZ2 G038.68+24.50,262.9725511,15.6778473,0.0836,2.475157,False,                    ,True,,,,False,,
PSZ2 G038.95-46.90,327.9887435,-15.613351999999999,0.0614,1.956114,True,                    ,True,327.97,-15.717,,False,,
PSZ2 G039.21-75.96,357.46531919999984,-24.7552547,0.24350100000000002,3.8967300000000002,False,                    ,True,,,,False,,
PSZ2 G039.32-59.88,340.7698037,-20.1640435,0.1359,3.19194,True,                    ,True,340.769,-20.166,,True,340.77159442062805,-20.17863550042608
PSZ2 G039.34+73.28,211.693221,27.729940399999997,0.566447,5.691223,False,RMJ140649.4+274556.8,True,,,,True,,
PSZ2 G039.85-39.96,321.7514441,-12.1616651,0.17600000000000002,5.91514,True,                    ,True,321.796,-12.159,,True,321.76423689543515,-12.167255258551235
PSZ2 G039.98-53.12,334.2369494,-17.4076141,0.1301,3.4765309999999996,True,                    ,True,334.235,-17.426,,True,334.23333333333346,-17.42085231513637
PSZ2 G040.03+74.95,209.8162599,27.965073999999998,0.0612,2.570666,True,RMJ135915.1+275834.5,True,209.82299999999998,27.973000000000003,,False,,
PSZ2 G040.28+37.36,250.79793480000004,21.5437922,0.1535,3.1695729999999998,True,RMJ164319.2+213121.4,True,250.834,21.526,,False,,
PSZ2 G040.58+77.12,207.3621979,28.0946094,0.0748,2.626682,True,RMJ134931.6+280001.6,True,207.34,28.104,,False,,
PSZ2 G041.43-66.81,348.10844219999996,-21.5507349,0.1108,2.7097439999999997,True,                    ,True,348.086,-21.500999999999998,,True,348.073974795023,-21.504037075031057
PSZ2 G041.45+29.10,259.4664801,19.6925477,0.17800000000000002,5.587061,True,                    ,True,259.455,19.683,,False,,
PSZ2 G041.69+21.68,266.80496239999997,17.130921700000002,0.479,5.8289839999999975,False,                    ,True,,,,True,266.78498374290183,17.182220250496858
