RA,DEC,max_pred,galmask,psmask,CO_mask,mpp_er
207.740722348177,-19.7645912133935,5.010371,1,0,1,0.27091771383803065
233.613225402552,-25.2682798590728,5.010464,0,0,0,0.27091826167168515
334.376814022068,-26.184096105315,5.010508,1,1,1,0.2709185208618013
222.889797068625,80.4793907942273,5.010539,1,0,1,0.27091870347301944
214.989939924539,30.178013495310804,5.01056,1,1,1,0.270918827177393
183.353654406015,49.770926861959,5.010744,1,1,1,0.2709199110633332
205.09425058358897,-4.27441064184538,5.0108,1,1,1,0.2709202409416628
184.22062620581798,-86.2706130134458,5.010808,0,1,0,0.2709202880671384
177.666207991634,9.132842743774107,5.010848,1,1,1,0.2709205236945167
340.89650927980597,-77.2546303502336,5.010928,0,1,0,0.2709209949492733
338.290838546586,11.934622311359401,5.010947,1,1,1,0.270921106872278
250.74295148459203,23.0544559010535,5.010955,1,1,1,0.2709211539977536
167.12778836085502,50.6594193505158,5.011103,1,0,1,0.2709220258190533
152.292931218109,28.3512654387069,5.0112309999999995,1,1,1,0.2709227798266638
303.23908224478,-14.731197439737198,5.011261,0,0,0,0.27092295654719756
88.51817127545151,-40.9909138606396,5.011514,1,1,1,0.2709244468903652
320.93383690629,-24.667967861877198,5.011629,1,1,1,0.2709251243190778
79.49977666659001,-38.4460727214825,5.011644,1,1,1,0.27092521267934466
334.602907947583,-27.283686811535002,5.011731,1,1,1,0.2709257251688924
344.50193804797095,-20.6254074329626,5.011992,1,1,1,0.27092726263753575
187.455863367538,-13.2193493490709,5.012207,1,1,1,0.27092852913469406
308.706785477879,-56.2317591433617,5.012479,1,1,1,0.2709301314008664
305.13387873079,-29.359387684284602,5.01295,1,0,1,0.27093290591324576
221.478053738595,76.16648735828392,5.012962,1,0,1,0.2709329766014592
325.701805914912,-69.50666313364921,5.013048,1,1,1,0.27093348320032257
246.06990011444302,19.2766014694487,5.0130620000000015,1,1,1,0.27093356566990495
336.136371203505,-23.3507881031703,5.013114,1,1,1,0.27093387198549673
325.611907030484,-44.5341235412875,5.0131760000000005,1,1,1,0.2709342372079331
347.292031257928,33.9856652815138,5.013241000000002,1,0,1,0.2709346201024228
246.934370968921,-17.7413793286806,5.013313,0,0,0,0.27093504423170367
312.081131988664,-34.7325143741248,5.013414,1,1,1,0.27093563919083385
124.89757525787701,52.783605801918895,5.013649,1,1,1,0.2709370235016813
244.987867830545,19.22049192469689,5.013757,1,1,1,0.2709376596956027
12.3653623603702,-40.699581587397105,5.013833999999999,1,0,1,0.2709381132783059
326.662236949567,-27.19984027105589,5.0139580000000015,1,1,1,0.2709388437231786
302.52567516327497,-41.854625013833704,5.014031,1,1,1,0.27093927374314397
215.995825317638,21.158128512235802,5.014049,1,1,1,0.2709393797754642
163.00216181260902,17.156587043769502,5.014094,1,1,1,0.27093964485626476
58.9820475771772,17.7126936038226,5.014115,0,1,0,0.2709397685606384
14.251897633982804,-24.3356476634278,5.01419,1,1,1,0.27094021036197263
71.0508361093976,-23.3304735884626,5.0142809999999995,1,1,1,0.27094074641425825
228.022795962318,-33.1103009384872,5.0143059999999995,0,0,0,0.2709408936813697
295.687374682768,-36.4120897101755,5.014355999999999,0,1,0,0.27094118821559254
316.244237968977,-65.1731260190145,5.014506,1,1,1,0.27094207181826113
16.578141968894,15.4103501316011,5.014513,1,1,1,0.2709421130530523
222.085895476689,-12.0494975408375,5.014516,1,1,1,0.2709421307251057
72.30101702983809,-84.7087575943996,5.0145550000000005,0,1,0,0.27094236046179954
36.02520099276371,28.065157205816305,5.014585,0,1,1,0.27094253718233324
147.494649639619,64.9817587886871,5.014615,1,1,1,0.27094271390286695
164.124962563016,37.5885261669153,5.014857,1,1,1,0.2709441394485056
251.696946913892,52.82838343102549,5.0149230000000005,1,1,1,0.27094452823367976
31.377886519724196,-0.293344432531297,5.014975,1,1,1,0.27094483454927154
