RA,DEC,p_max,precisionX,s/n,id
304.44582438695613,-39.22253869339686,0.2320450129918754,0.4305695027254985,-1.0,SZ_G001.93-32.82
123.10794280894982,33.6609824637822,0.2320575039419863,0.4305790081064579,-1.0,SZ_G188.06+30.60
2.6920979574907484,-34.19640591965031,0.2320646314571301,0.4305844320130572,-1.0,SZ_G351.48-78.77
247.68014850662377,60.31721022431096,0.2321332331214632,0.4306366366050336,5.774008,SZ_G090.75+40.55
333.6376749499828,-25.834305803569645,0.2321449986525944,0.4306455899556274,-1.0,SZ_G025.93-55.01
352.0084248949078,-62.405689046457006,0.2321670772507787,0.4306623913586375,5.077788,SZ_G318.51-52.13
110.9578255041558,83.07529682822566,0.2321814144961536,0.4306733017359896,-1.0,SZ_G130.69+27.89
258.7345469998931,5.6518257374991565,0.2321824729442596,0.4306741071953329,-1.0,SZ_G026.78+24.01
33.7290217831296,-47.90852105490991,0.2322172559797764,0.4307005764391117,5.650529,SZ_G270.43-63.61
308.97563184205416,37.750487587084265,0.2322190029793205,0.4307019058733064,-1.0,SZ_G077.67-01.75
273.42560798171365,4.346150558624808,0.2322410047054291,0.4307186487780951,-1.0,SZ_G032.52+10.37
82.48035653368197,71.1480177887729,0.2322541070170701,0.4307286193938201,-1.0,SZ_G141.66+19.35
288.838367448014,25.78891090698952,0.2323171230964362,0.4307765734594139,-1.0,SZ_G058.58+06.60
88.28607361381027,-42.14396027686728,0.2323281969875097,0.4307850004847739,-1.0,SZ_G248.44-28.16
77.7293234429817,-3.5245007335190777,0.232348851215761,0.4308007179687292,5.989269999999999,SZ_G204.21-23.91
115.96397157215937,-3.5084355297845264,0.2324150381609797,0.4308510850043237,-1.0,SZ_G222.14+09.99
248.9106250252416,10.160723468540109,0.2324306834489107,0.4308629907777584,5.252781,SZ_G026.39+34.73
26.66151997059326,-20.36777743129288,0.2324917289827551,0.4309094452948216,-1.0,SZ_G187.70-75.69
230.12063606321863,6.860759857598518,0.2325084232725203,0.4309221493391623,-1.0,SZ_G010.03+49.26
158.31537897663137,1.3921957186878489,0.2325237588956952,0.430933819463471,-1.0,SZ_G244.91+48.07
33.71248736331205,20.307351524511603,0.2325303447432816,0.4309388311711228,-1.0,SZ_G148.16-38.44
82.60717955398202,-0.9708281100292075,0.2325374831755956,0.4309442633854856,-1.0,SZ_G204.28-18.41
72.4375526049503,-17.714538836959886,0.2326050294297082,0.4309956648298932,-1.0,SZ_G216.47-34.61
9.739746971571776,-28.50655305828856,0.2326119057834148,0.4310008976073051,-1.0,SZ_G005.67-86.92
129.25292169673142,-10.74151981164073,0.2326381802558899,0.4310208919926934,-1.0,SZ_G235.46+17.68
41.3422234535014,-29.602103485208648,0.2326742061413825,0.4310483070222122,6.110067,SZ_G225.33-64.88
164.16564992180312,-15.232572138332934,0.2326757773756981,0.4310495027023338,-1.0,SZ_G266.15+39.31
72.43959450846934,24.27662543246933,0.2326821507886052,0.4310543527511416,-1.0,SZ_G176.68-12.90
208.11229258639085,-19.33963529148096,0.2326871859841049,0.4310581844413657,5.039504,SZ_G322.21+41.24
226.61355404372927,-63.06221197589818,0.2327228225666549,0.4310853032185782,-1.0,SZ_G317.55-04.09
191.75692575614303,8.898093853669431,0.2327659167349338,0.4311180970799726,-1.0,SZ_G299.45+71.74
